VAR_ID,Description,,VAR_FRED_ID
M_CUUR0000SAM2,Consumer Price Index for All Urban Consumers: Medical Care Services inU.S. City Average,,M_FRED_CUUR0000SAM2
M_CUUR0000SASLE,Consumer Price Index for All Urban Consumers: Services Less EnergyServices in U.S. City Average,,M_FRED_CUUR0000SASLE
M_CUUR0000SEFV,Consumer Price Index for All Urban Consumers: Food Away from Home inU.S. City Average,,M_FRED_CUUR0000SEFV
M_CUUR0000SEHA,Consumer Price Index for All Urban Consumers: Rent of PrimaryResidence in U.S. City Average,,M_FRED_CUUR0000SEHA
M_CUUR0000SEHF01,Consumer Price Index for All Urban Consumers: Electricity in U.S. CityAverage,,M_FRED_CUUR0000SEHF01
M_CUUR0000SETA01,Consumer Price Index for All Urban Consumers: New Vehicles in U.S.City Average,,M_FRED_CUUR0000SETA01
M_CUUR0000SETA02,Consumer Price Index for All Urban Consumers: Used Cars and Trucks inU.S. City Average,,M_FRED_CUUR0000SETA02
M_CUUR0000SETB01,Consumer Price Index for All Urban Consumers: Gasoline (All Types) inU.S. City Average,,M_FRED_CUUR0000SETB01
M_CUUR0000SETG01,Consumer Price Index for All Urban Consumers: Airline Fares in U.S.City Average,,M_FRED_CUUR0000SETG01
M_CWUR0000SA0,Consumer Price Index for All Urban Wage Earners and Clerical Workers:All Items in U.S. City Average,,M_FRED_CWUR0000SA0
M_DAUPNSA,Domestic Auto Production,,M_FRED_DAUPNSA
M_DPSACBM027NBOG,"Deposits, All Commercial Banks",,M_FRED_DPSACBM027NBOG
M_EXBZUS,Brazilian Reals to U.S. Dollar Spot Exchange Rate,,M_FRED_EXBZUS
M_EXCAUS,Canadian Dollars to U.S. Dollar Spot Exchange Rate,,M_FRED_EXCAUS
M_EXCHUS,Chinese Yuan Renminbi to U.S. Dollar Spot Exchange Rate,,M_FRED_EXCHUS
M_EXDNUS,Danish Kroner to U.S. Dollar Spot Exchange Rate,,M_FRED_EXDNUS
M_EXHKUS,Hong Kong Dollars to U.S. Dollar Spot Exchange Rate,,M_FRED_EXHKUS
M_EXINUS,Indian Rupees to U.S. Dollar Spot Exchange Rate,,M_FRED_EXINUS
M_EXJPUS,Japanese Yen to U.S. Dollar Spot Exchange Rate,,M_FRED_EXJPUS
M_EXKOUS,South Korean Won to U.S. Dollar Spot Exchange Rate,,M_FRED_EXKOUS
M_EXMAUS,Malaysian Ringgit to U.S. Dollar Spot Exchange Rate,,M_FRED_EXMAUS
M_EXMXUS,Mexican Pesos to U.S. Dollar Spot Exchange Rate,,M_FRED_EXMXUS
M_EXNOUS,Norwegian Kroner to U.S. Dollar Spot Exchange Rate,,M_FRED_EXNOUS
